Seq,DH137,DH138,DH139,DH140,DH141,DH142,DH143,DH144
DH_202,0,0,0,0,0,0,0,0
DH_203,0,0,0,0,0,104,136,0
DH_204,0,0,0,0,0,0,0,0
DH_205,10,42,46,83,44,9,0,0
DH_206,93,83,86,62,0,0,0,0
DH_207,0,18,0,34,0,0,0,0
DH_208,63,59,73,108,0,0,0,0
DH_209,126,104,0,0,0,0,0,0
DH_210,0,0,0,0,35,0,0,0
DH_211,48,58,75,49,0,0,0,0
DH_212,0,0,0,0,0,11,0,0
DH_213,0,0,0,0,5,45,51,0
DH_214,0,0,0,0,0,0,0,0
DH_215,0,0,0,0,70,0,0,0
DH_216,0,0,0,0,0,0,0,0
DH_217,0,0,0,0,0,0,0,0
DH_218,10,17,18,43,0,0,0,0
DH_219,105,133,121,104,0,0,0,0
DH_220,36,29,0,117,189,26,0,0
DH_221,832,765,919,1115,85,0,0,0
DH_222,0,0,0,0,0,0,0,0
DH_223,0,0,0,0,0,0,0,0
DH_224,0,0,0,0,0,0,0,0
DH_225,3,9,13,28,7,2,0,0
DH_226,429,355,368,329,0,10,0,0
DH_227,0,0,0,0,269,29,21,6
DH_228,120,177,210,123,0,0,0,0
DH_229,0,0,0,0,82,0,0,0
DH_230,0,0,0,0,149,882,3044,0
DH_231,115,128,126,163,0,0,0,0
DH_232,0,0,0,0,40,176,131,0
DH_233,195,208,187,116,12,0,0,0
DH_234,0,0,0,0,88,21,0,0
DH_235,0,0,0,0,0,0,0,0
DH_236,0,0,0,0,0,0,0,0
DH_237,0,0,0,0,0,0,0,0
DH_238,0,0,0,0,0,0,0,0
DH_239,0,0,0,0,0,164,105,0
DH_240,0,0,0,0,0,0,0,0
DH_241,0,0,0,0,0,0,0,0
DH_242,0,0,0,0,0,30,0,0
DH_243,41,35,79,82,62,0,0,0
DH_244,243,254,302,314,0,0,0,0
DH_245,0,0,0,0,0,0,0,0
DH_246,0,0,0,0,66,0,0,0
DH_247,0,0,0,0,0,0,0,0
DH_248,847,949,1070,1360,258,63,21,0
DH_249,0,0,0,0,0,0,0,0
DH_250,0,0,0,0,88,0,0,0
DH_251,0,0,0,0,0,78,192,0
DH_252,0,0,0,0,0,0,0,0
DH_253,0,0,0,0,0,0,0,0
DH_254,0,0,0,0,0,0,0,0
DH_255,54,77,89,82,0,0,0,0
DH_256,0,0,0,0,0,0,0,0
DH_257,0,0,0,0,0,0,0,0
DH_258,0,0,0,0,0,0,0,0
DH_259,0,0,0,0,0,21,10,0
DH_260,0,0,0,0,0,0,0,0
DH_261,0,0,0,0,0,0,0,0
DH_262,0,0,0,0,88,0,0,0
DH_263,103,115,91,61,0,0,0,0
DH_264,41,96,133,328,136,19,0,0
DH_265,0,0,0,0,0,0,0,0
DH_266,0,0,0,0,0,0,0,0
DH_267,8,11,0,15,114,0,0,0
DH_268,0,0,0,0,0,0,0,0
DH_269,0,0,0,0,0,0,0,0
DH_270,140,144,177,152,0,0,0,0
DH_271,0,0,0,0,0,0,0,0
DH_272,29,17,0,36,0,0,0,0
DH_273,0,0,0,0,0,0,0,0
DH_274,118,164,125,108,0,0,0,0
DH_275,0,0,0,0,0,0,0,0
DH_276,36,55,79,110,31,0,0,0
DH_277,0,0,0,0,0,0,0,0
DH_278,0,0,0,0,119,0,0,0
DH_279,0,0,0,44,0,0,0,0
DH_280,58,48,60,18,0,0,0,0
DH_281,0,0,0,0,0,0,0,0
DH_282,0,0,0,0,5,0,0,0
DH_283,0,0,0,0,58,0,0,0
DH_284,0,0,0,0,932,154,16,0
DH_285,0,0,0,0,0,0,0,0
DH_286,0,0,0,0,0,0,0,0
DH_287,0,0,0,0,16,0,0,0
DH_288,0,22,22,27,32,0,0,0
DH_289,0,0,0,0,0,12,0,0
DH_290,0,0,0,0,0,0,0,0
DH_291,58,76,100,72,0,0,0,0
DH_292,0,0,0,0,0,0,0,0
DH_293,0,0,0,0,0,0,0,0
DH_294,0,0,0,0,8,1213,163,0
DH_295,0,0,0,6,427,14,0,0
DH_296,0,0,0,0,21,129,172,0
DH_297,0,0,0,0,0,0,0,0
DH_298,0,0,0,0,0,0,0,0
DH_299,0,0,0,0,0,0,0,0
DH_300,0,0,0,0,0,0,0,0
DH_301,0,0,0,0,0,0,0,0
DH_302,0,0,0,0,0,0,0,0
DH_303,0,0,0,0,0,0,0,0
DH_304,38,0,55,58,0,0,0,0
DH_305,0,0,0,0,21,78,159,0
DH_306,60,85,60,83,43,0,0,0
DH_307,0,0,0,0,15,132,124,0
DH_308,0,0,0,0,0,0,0,0
DH_309,0,0,0,0,25,691,495,0
DH_310,166,193,217,201,0,0,0,0
DH_311,0,0,0,0,0,0,0,0
DH_312,0,0,0,0,10,197,19,0
DH_313,0,0,0,0,0,0,0,0
DH_314,0,0,0,0,0,0,0,0
DH_315,0,0,0,0,0,0,31,0
DH_316,0,0,0,0,0,0,0,0
DH_317,39,44,52,69,25,0,0,0
DH_318,24,22,41,33,0,0,0,0
DH_319,0,0,0,0,0,0,7,0
DH_320,0,0,0,0,0,0,0,0
DH_321,179,181,242,232,0,0,0,0
DH_322,23,24,26,14,0,0,0,0
DH_323,0,0,0,0,43,5,0,0
DH_324,0,0,10,0,0,0,0,0
DH_325,0,0,0,0,0,0,0,0
DH_326,0,0,0,0,39,35,0,0
DH_327,0,0,0,0,204,32,0,0
DH_328,19,31,34,62,31,0,0,0
DH_329,0,10,0,21,0,0,0,0
DH_330,0,0,0,0,0,0,0,0
DH_331,0,0,0,0,0,0,0,0
DH_332,0,0,0,0,0,0,0,0
DH_333,0,0,0,16,17,0,0,0
DH_334,0,0,0,0,0,0,0,0
DH_335,0,76,83,0,0,0,0,0
DH_336,0,0,0,0,0,0,0,0
DH_337,46,26,34,30,0,0,0,0
DH_338,0,0,0,0,0,0,0,0
DH_339,0,0,49,0,0,0,0,0
DH_340,9,57,112,50,19,0,0,0
DH_341,9,8,30,12,59,2,2,0
DH_342,0,0,0,0,49,0,0,0
DH_343,198,186,283,246,0,0,0,0
DH_344,0,0,0,0,0,0,0,0
DH_345,0,0,0,0,89,0,0,0
DH_346,0,0,0,0,0,302,39,0
DH_347,0,0,0,0,0,0,0,0
DH_348,0,0,0,0,0,0,0,0
DH_349,0,0,0,0,0,227,0,0
DH_350,0,0,0,0,0,0,0,0
DH_351,184,196,241,209,152,0,0,0
DH_352,0,0,0,0,0,132,68,0
DH_353,19,22,35,41,42,8,0,0
DH_354,0,0,0,0,0,0,0,0
DH_355,0,0,0,0,0,0,0,0
DH_356,0,0,0,0,0,45,0,0
DH_357,0,0,0,0,251,24,0,0
DH_358,0,0,0,0,44,0,0,0
DH_359,0,0,0,0,0,66,13,0
DH_360,0,0,0,0,14,40,36,0
DH_361,0,0,0,0,66,0,0,0
DH_362,0,40,45,45,0,0,0,0
DH_363,0,0,0,0,0,0,0,0
DH_364,0,0,0,0,0,0,0,0
DH_365,0,0,0,0,970,143,15,0
DH_366,0,0,0,0,0,0,0,0
DH_367,0,0,0,0,0,0,0,0
DH_368,0,7,13,17,11,0,0,0
DH_369,0,0,0,0,0,0,0,0
DH_370,0,0,0,0,0,0,0,0
DH_371,114,126,149,129,0,0,0,0
DH_372,0,0,0,0,0,271,152,0
DH_373,138,151,204,165,11,0,0,0
DH_374,12,14,27,40,347,21,0,0
DH_375,0,0,0,0,0,0,0,0
DH_376,62,0,70,61,0,0,0,0
DH_377,0,0,0,0,0,0,0,0
DH_378,0,0,0,0,0,0,0,0
DH_379,1476,2283,3476,2475,70,19,0,0
DH_380,17,24,22,59,71,26,6,0
DH_381,0,0,0,0,11,0,0,0
DH_382,0,0,0,0,70,0,0,0
DH_383,0,0,0,0,0,0,0,0
DH_384,0,0,0,0,0,0,0,0
DH_385,0,0,0,0,77,0,0,0
DH_386,0,0,0,0,0,19,0,0
DH_387,0,0,0,0,0,0,0,0
DH_388,0,0,0,0,0,0,0,0
DH_389,22,0,21,0,0,0,0,0
DH_390,0,0,0,0,29,0,0,0
DH_391,0,0,0,0,0,0,0,0
DH_392,0,0,0,0,0,0,0,0
DH_393,0,0,0,0,0,0,0,0
DH_394,0,0,0,0,0,0,0,0
DH_395,0,0,0,0,0,0,0,0
DH_396,0,0,0,0,0,0,0,0
DH_397,0,0,0,0,0,0,0,0
DH_398,0,0,0,0,0,0,0,0
DH_399,0,0,0,0,0,0,0,0
DH_400,0,0,0,0,0,0,0,0
DH_401,0,0,0,0,0,0,0,0
DH_402,0,9,0,22,0,0,0,0
DH_403,0,0,0,0,0,0,0,0
DH_404,0,0,0,0,0,0,0,0
DH_405,0,0,0,0,46,1678,1871,0
DH_406,0,0,0,0,0,0,0,0
DH_407,0,8,10,17,10,14,0,0
DH_408,0,0,0,0,52,0,0,0
DH_409,0,0,0,0,0,0,0,0
DH_410,22,19,22,46,22,0,0,0
DH_411,20,36,29,33,30,0,0,0
DH_412,0,0,0,0,155,0,0,0
DH_413,0,0,0,0,0,0,0,0
DH_414,25,32,62,51,3,0,0,0
DH_415,0,0,0,0,0,0,0,0
DH_416,0,0,0,11,288,12,0,0
DH_417,0,0,0,0,0,0,0,0
DH_418,0,0,0,0,0,0,0,0
DH_419,0,0,0,0,0,0,0,0
DH_420,0,0,0,0,27,0,0,0
DH_421,0,0,7,0,0,0,0,0
DH_422,0,0,0,0,0,0,0,0
DH_423,6,22,22,11,0,0,0,0
DH_424,0,0,0,0,0,80,57,0
DH_425,0,0,0,0,499,0,0,0
DH_426,0,0,0,0,0,0,0,0
DH_427,0,0,0,0,0,0,0,0
DH_428,0,0,0,0,19,0,0,0
DH_429,0,0,0,0,0,0,0,0
DH_430,0,0,0,0,0,0,0,0
DH_431,0,0,0,0,0,0,4,0
DH_432,0,0,0,0,0,0,0,0
DH_433,0,0,5,6,0,0,0,0
DH_434,0,0,0,0,0,44,0,0
DH_435,0,0,0,0,0,0,0,0
DH_436,0,0,0,0,0,0,0,0
DH_437,0,0,0,0,0,0,0,0
DH_438,28,29,44,31,0,0,0,0
DH_439,0,0,0,0,0,20,3,0
DH_440,0,0,0,0,771,1260,129,0
DH_441,0,0,0,0,6,0,0,0
DH_442,0,0,0,0,0,0,0,0
DH_443,0,0,0,0,0,37,6,0
DH_444,292,382,493,683,31,14,0,0
DH_445,0,0,0,0,0,0,0,0
DH_446,0,0,0,0,0,0,0,0
DH_447,0,0,0,0,0,0,0,0
DH_448,29,23,49,75,28,0,0,0
DH_449,0,0,0,0,0,0,0,0
DH_450,0,0,0,0,0,0,0,0
DH_451,161,179,232,176,59,0,4,0
DH_452,0,0,0,0,0,0,0,0
DH_453,0,0,0,0,16,0,0,0
DH_454,0,0,0,0,0,0,0,0
DH_455,0,0,0,0,0,0,0,0
DH_456,0,0,0,0,0,0,0,0
DH_457,0,0,0,0,0,0,0,0
DH_458,0,0,0,0,44,2,0,0
DH_459,86,102,0,0,0,0,0,0
DH_460,0,0,0,0,25,39,0,0
DH_461,19,18,35,25,0,0,0,0
DH_462,0,0,0,0,0,0,0,0
DH_463,0,0,0,0,0,0,0,0
DH_464,0,0,0,0,0,39,0,0
DH_465,0,0,47,38,0,0,0,0
DH_466,0,0,0,0,0,0,0,0
DH_467,0,0,0,0,0,310,25,0
DH_468,0,0,0,0,0,0,0,0
DH_469,0,0,0,0,0,0,0,0
DH_470,0,0,0,0,0,0,0,0
DH_471,0,0,0,0,0,0,0,0
DH_472,45,35,64,115,14,0,0,0
DH_473,0,0,0,0,117,0,0,0
DH_474,0,0,0,0,0,43,17,0
DH_475,27,30,0,28,10,0,0,0
DH_476,101,126,163,135,0,0,0,0
DH_477,0,0,0,0,0,6,0,0
DH_478,65,88,142,144,0,0,0,0
DH_479,0,0,0,0,0,0,0,0
DH_480,3,0,7,12,3,0,0,0
DH_481,0,0,0,0,0,0,0,0
DH_482,0,0,0,0,0,0,0,0
DH_483,0,0,0,0,0,0,0,0
DH_484,0,0,0,0,29,0,0,0
DH_485,9,11,12,16,23,4,0,0
DH_486,0,0,0,0,48,5,0,0
DH_487,0,0,0,0,24,64,12,0
DH_488,0,0,0,0,0,0,0,0
DH_489,0,0,0,0,0,0,0,0
DH_490,0,0,0,0,0,0,0,0
DH_491,0,0,0,0,0,0,0,0
DH_492,0,0,0,0,0,0,0,0
DH_493,0,0,0,0,0,0,0,0
DH_494,0,0,0,9,84,7,0,0
DH_495,0,0,0,0,0,0,0,0
DH_496,0,0,0,0,0,0,0,0
DH_497,0,0,0,0,23,0,0,0
DH_498,0,0,0,0,0,22,0,0
DH_499,0,0,7,6,0,0,0,0
DH_500,0,0,0,0,0,27,0,0
DH_501,0,0,0,0,0,0,0,0
DH_502,0,0,0,0,0,0,0,0
DH_503,0,0,0,0,0,0,0,0
DH_504,0,0,0,0,0,0,0,0
DH_505,0,0,0,0,0,0,0,0
DH_506,0,0,0,0,0,0,0,0
DH_507,0,0,0,0,0,0,0,0
DH_508,0,6,11,37,511,35,0,0
DH_509,0,0,0,0,7,0,0,0
DH_510,26,26,42,0,0,0,0,0
DH_511,0,0,0,0,203,0,0,0
DH_512,0,0,0,0,0,6,0,0
DH_513,239,259,317,270,0,0,0,0
DH_514,0,0,0,0,0,0,0,0
DH_515,95,91,101,144,0,0,0,0
DH_516,0,0,0,0,0,0,0,0
DH_517,0,0,0,0,0,0,0,0
DH_518,0,0,0,0,0,0,0,0
DH_519,0,0,0,0,0,0,0,0
DH_520,0,0,0,0,35,0,0,0
DH_521,0,0,0,0,0,0,0,0
DH_522,14,14,23,0,0,0,0,0
DH_523,0,0,0,0,0,0,0,0
DH_524,0,0,0,0,69,0,0,0
DH_525,23,33,58,79,6,0,0,0
DH_526,0,0,0,0,152,0,0,0
DH_527,0,0,0,0,0,0,0,0
DH_528,0,0,0,0,0,49,0,0
DH_529,0,0,0,0,0,0,0,0
DH_530,0,0,0,0,0,11,4,0
DH_531,5,0,0,2,0,24,0,0
DH_532,0,0,0,0,0,0,0,0
DH_533,0,0,0,0,0,0,0,0
DH_534,429,527,638,828,110,87,11,0
DH_535,0,0,0,0,0,0,116,0
DH_536,0,0,0,0,0,0,0,0
DH_537,0,0,7,0,0,0,0,0
DH_538,0,0,0,0,67,38,28,0
DH_539,0,0,0,0,0,0,0,0
DH_540,0,0,0,0,0,0,0,0
DH_541,6,5,10,42,8,0,0,0
DH_542,27,37,58,37,21,12,0,0
DH_543,0,0,36,0,0,0,0,0
DH_544,0,0,0,0,0,0,0,0
DH_545,0,0,0,0,29,3,0,0
DH_546,0,0,0,0,31,8,0,0
DH_547,0,0,0,0,0,0,0,0
DH_548,0,0,0,0,25,0,0,0
DH_549,0,0,0,0,0,0,0,0
DH_550,342,581,758,1034,444,18,0,0
DH_551,0,0,0,0,44,0,0,0
DH_552,0,0,0,0,0,0,0,0
DH_553,0,0,0,0,0,0,0,0
DH_554,75,62,82,137,39,0,8,0
DH_555,0,0,0,0,0,0,0,0
DH_556,0,0,0,0,0,0,0,0
DH_557,22,26,71,74,35,0,0,0
DH_558,0,0,0,0,0,16,0,0
DH_559,22,49,102,155,0,0,0,0
DH_560,0,0,0,0,0,0,0,0
DH_561,4,26,68,164,8,0,0,0
DH_562,0,0,0,0,0,0,0,0
DH_563,0,0,0,0,0,0,0,0
DH_564,0,0,0,0,0,0,0,0
DH_565,0,0,0,0,0,14,6,0
DH_566,0,0,0,0,0,0,0,0
DH_567,0,0,0,0,0,438,35,0
DH_568,42,50,67,123,113,0,0,0
DH_569,0,0,0,0,0,0,0,0
DH_570,0,0,0,0,0,0,0,0
DH_571,0,0,0,0,0,0,0,0
DH_572,0,0,0,0,70,0,0,0
DH_573,0,0,0,0,0,0,0,0
DH_574,0,0,0,0,0,0,0,0
DH_575,0,0,0,0,0,0,0,0
DH_576,0,0,0,0,0,46,0,0
DH_577,0,0,0,0,0,0,0,0
DH_578,0,0,0,0,0,0,0,0
DH_579,0,0,0,0,0,67,40,0
DH_580,0,0,0,0,141,263,20,0
DH_581,0,0,0,0,0,0,0,0
DH_582,0,0,0,0,194,28,27,0
DH_583,0,0,0,0,0,0,0,0
DH_584,0,0,0,0,0,0,0,0
DH_585,0,0,0,0,0,0,0,0
DH_586,0,0,0,0,0,0,0,0
DH_587,0,0,0,0,0,0,0,0
DH_588,0,0,0,0,0,11,0,0
DH_589,0,0,0,0,36,28,0,0
DH_590,10,22,40,77,59,46,8,0
DH_591,0,0,0,0,0,0,0,0
DH_592,0,0,0,0,0,0,0,0
DH_593,0,0,0,0,0,0,0,0
DH_594,38,0,0,0,60,0,0,0
DH_595,8,10,8,0,0,0,0,0
DH_596,0,0,0,0,0,0,0,0
DH_597,0,0,0,0,0,0,0,0
DH_598,0,0,0,0,0,0,0,0
DH_599,3,0,0,0,0,0,0,0
DH_600,0,0,0,0,0,0,0,0
DH_601,0,0,0,0,0,0,0,0
DH_602,0,0,0,0,0,0,0,0
DH_603,0,0,0,0,0,0,0,0
DH_604,0,0,0,0,0,0,0,0
DH_605,0,0,0,0,0,0,0,0
DH_606,0,0,0,0,0,10,2,0
DH_607,0,0,0,0,0,0,0,0
DH_608,0,0,0,0,0,0,0,0
DH_609,5,6,11,11,0,0,0,0
DH_610,0,0,0,0,0,0,0,0
DH_611,0,0,0,0,0,0,0,0
DH_612,0,0,0,0,0,0,0,0
DH_613,0,0,0,0,41,0,0,0
DH_614,0,0,0,0,0,0,0,0
DH_615,0,0,0,0,61,0,0,0
DH_616,0,0,0,11,0,0,0,0
DH_617,0,0,0,0,0,0,0,0
DH_618,70,102,178,100,50,15,0,0
DH_619,0,0,0,0,0,0,0,0
DH_620,0,0,0,0,0,0,0,0
DH_621,0,0,0,0,0,0,0,0
DH_622,0,0,0,0,0,0,0,0
DH_623,0,0,0,19,33,2,0,0
DH_624,0,0,0,0,0,0,0,0
DH_625,0,0,0,0,0,0,0,0
DH_626,0,0,0,0,0,0,0,0
DH_627,0,0,0,0,0,0,0,0
DH_628,0,0,0,0,0,0,0,0
DH_629,0,0,0,0,0,0,0,0
DH_630,0,0,0,0,3,0,0,0
DH_631,4,0,0,8,629,49,9,0
DH_632,0,0,0,0,0,0,0,0
DH_633,4,0,0,0,0,0,0,0
DH_634,0,0,0,0,307,29,0,0
DH_635,0,0,0,0,0,14,9,0
DH_636,0,0,0,0,0,0,0,0
DH_637,0,0,0,0,0,0,0,0
DH_638,44,47,21,44,462,19,0,0
DH_639,0,0,0,0,0,0,0,0
DH_640,0,0,0,0,0,26,25,0
DH_641,0,0,0,0,0,0,0,0
DH_642,0,0,0,0,0,0,0,0
DH_643,0,0,0,0,0,0,0,0
DH_644,0,19,39,49,0,0,0,0
DH_645,0,0,0,0,0,0,0,0
DH_646,0,0,0,0,0,0,0,0
DH_647,0,0,0,0,0,0,0,0
DH_648,0,0,0,0,0,0,0,0
DH_649,0,0,0,0,0,0,123,0
DH_650,19,24,30,19,0,0,0,0
DH_651,0,0,0,0,30,0,0,0
DH_652,0,8,14,11,0,5,0,0
DH_653,0,0,0,0,212,0,0,0
DH_654,0,0,0,0,0,0,0,0
DH_655,279,296,241,213,0,0,0,0
DH_656,0,0,0,0,0,0,9,0
