ID,Treatment,Bottle,Timepoint,Time,Day,Type,Compound,Peak_Area
A13,S/S,A,T13,20.84,Day 21,Expt,Saturated Fatty Acids,261491871
B13,S/S,B,T13,20.84,Day 21,Expt,Saturated Fatty Acids,235035714.9
C13,S/D,C,T13,20.84,Day 21,Expt,Saturated Fatty Acids,287315164.1
D13,S/D,D,T13,20.84,Day 21,Expt,Saturated Fatty Acids,200416313.1
E13,D/S,E,T13,20.84,Day 21,Expt,Saturated Fatty Acids,253132907
F13,D/S,F,T13,20.84,Day 21,Expt,Saturated Fatty Acids,243258371.7
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Sugars,334105701.2
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Sugars,304768338.3
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Sugars,458447542.7
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Sugars,310425789.5
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Sugars,163918762.9
A8,S/S,A,T8,5.8,Day 6,Expt,Sugars,1747920585
B8,S/S,B,T8,5.8,Day 6,Expt,Sugars,685734396.4
C8,S/D,C,T8,5.8,Day 6,Expt,Sugars,880854595.3
D8,S/D,D,T8,5.8,Day 6,Expt,Sugars,896530256.3
E8,D/S,E,T8,5.8,Day 6,Expt,Sugars,887739541.1
F8,D/S,F,T8,5.8,Day 6,Expt,Sugars,932764453.4
A13,S/S,A,T13,20.84,Day 21,Expt,Sugars,1783776222
B13,S/S,B,T13,20.84,Day 21,Expt,Sugars,1135534642
C13,S/D,C,T13,20.84,Day 21,Expt,Sugars,1088573006
D13,S/D,D,T13,20.84,Day 21,Expt,Sugars,1021077156
E13,D/S,E,T13,20.84,Day 21,Expt,Sugars,798312257.5
F13,D/S,F,T13,20.84,Day 21,Expt,Sugars,768521604.7
Deep 1,S/D,Deep,T0,0,Day 0,Expt,Unsaturated Aliphatic,137219220.5
Deep 2,D/S,Deep,T0,0,Day 0,Expt,Unsaturated Aliphatic,142814531.8
Deep 3,S/D,Deep,T0,0,Day 0,Expt,Unsaturated Aliphatic,193787248.6
Surface 1,S/S,Surface,T0,0,Day 0,Expt,Unsaturated Aliphatic,115294256.7
Surface 3,S/S,Surface,T0,0,Day 0,Expt,Unsaturated Aliphatic,118287892.2
A8,S/S,A,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,549849365.3
B8,S/S,B,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,367487848.2
C8,S/D,C,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,189084348.8
D8,S/D,D,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,567307029.6
E8,D/S,E,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,351007723.2
F8,D/S,F,T8,5.8,Day 6,Expt,Unsaturated Aliphatic,424430973
A13,S/S,A,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,224562426.9
B13,S/S,B,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,208977428.2
C13,S/D,C,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,275519806.9
D13,S/D,D,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,124434462.7
E13,D/S,E,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,291749224
F13,D/S,F,T13,20.84,Day 21,Expt,Unsaturated Aliphatic,236102013.3
