Seq_ID,Cruise,Date,Sample_ID,Day,Month,Year,Depth,Treatment,Bottle,Timepoint,Time,Day2,Type1,Type2,Filter,Temp,Salinity,pH,DO,DIC ,TA,Bacteria,Cyanobacteria,BP,pCO2 ,Phosphate ,Silicate,Nitrite,Nitrate,Ammonia,DOC,TOC,Asp,Glu,His,Ser,Arg,Thr,Gly,BAla,Tyr,Ala,GABA,Met,Val,Ile,Leu,Lys,TDAA ave (nM),TDAA stdev,TDAA C (nM),DOC (uM),TDAA yield,Mol% BAla+GABA,Degradation index
DH36_F4,36,11/08/2018,F4,11,8,2018,24,D/S,F,T4,2.00,Day 2,Expt,Expt,PC,,,,,,,10.32,,,,0.02,3.07,2.10,0.14,0.56,91.91,97.44,104.87,82.65,10.85,105.31,35.07,38.20,199.14,24.11,13.55,98.42,4.38,5.68,28.31,22.34,16.97,25.13,814.99,133.40,3038.98,91.91,3.31,3.50,1.07
DH36_A8,36,15/08/2018,A8,15,8,2018,1,S/S,A,T8,5.80,Day 6,Expt,Expt,PC,25.50,36.29,8.39,136.56,,,9.56,,,,0.05,1.43,0.01,0.02,0.56,92.26,93.94,80.51,95.78,22.27,127.15,68.54,68.38,398.20,22.94,31.17,132.29,39.54,7.25,59.05,35.30,63.90,60.20,1312.47,52.63,4989.43,92.26,5.41,4.76,2.29
DH36_B8,36,15/08/2018,B8,15,8,2018,1,S/S,B,T8,5.80,Day 6,Expt,Expt,PC,24.90,36.29,8.41,153.44,,,9.33,,,,0.03,1.70,0.01,0.01,0.66,91.77,91.39,82.28,101.42,22.71,131.23,69.90,69.23,357.73,23.34,32.62,142.95,39.79,9.65,65.21,36.36,66.39,63.77,1314.58,79.98,5102.98,91.77,5.56,4.80,2.58
DH36_C8,36,15/08/2018,C8,15,8,2018,1,S/D,C,T8,5.80,Day 6,Expt,Expt,PC,25.60,36.22,8.32,154.38,,,19.65,,,,0.13,4.60,3.73,0.07,1.46,89.75,91.61,49.20,49.26,7.86,70.23,27.16,35.35,209.08,29.14,10.31,77.07,14.96,3.39,25.09,9.74,18.87,21.93,658.63,116.81,2340.34,89.75,2.61,6.70,0.82
DH36_D8,36,15/08/2018,D8,15,8,2018,1,S/D,D,T8,5.80,Day 6,Expt,Expt,PC,25.40,36.23,8.27,152.81,,,20.36,,,,0.06,4.18,3.60,0.03,1.31,93.04,95.91,67.47,75.86,14.00,75.34,47.47,52.47,226.31,45.71,19.46,186.38,24.28,7.97,37.93,18.19,34.62,32.88,966.35,173.87,3618.73,93.04,3.89,7.24,1.14
DH36_E8,36,15/08/2018,E8,15,8,2018,24,D/S,E,T8,5.80,Day 6,Expt,Expt,PC,22.40,36.01,8.25,140.94,,,14.55,,,,0.03,3.13,2.22,0.12,1.08,90.59,89.91,72.30,90.38,11.29,99.27,49.64,63.85,247.85,23.74,24.34,118.29,20.50,6.85,52.54,29.61,56.33,46.37,1013.15,44.39,3973.58,90.59,4.39,4.37,2.84
DH36_F8,36,15/08/2018,F8,15,8,2018,24,D/S,F,T8,5.80,Day 6,Expt,Expt,PC,22.40,35.98,8.13,152.81,,,14.50,,,,0.01,3.26,2.18,0.08,0.67,96.22,96.13,66.90,62.31,8.75,73.21,38.26,57.01,205.45,27.08,15.83,102.74,23.10,7.77,39.46,19.60,39.83,32.69,820.01,104.98,3133.09,96.22,3.26,6.12,2.27
DH36_A10,36,18/08/2018,A10,18,8,2018,1,S/S,A,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,9.83,,,,0.00,1.86,0.00,0.06,0.28,,97.92,,,,,,,,,,,,,,,,,,,,,,,
DH36_B10,36,18/08/2018,B10,18,8,2018,1,S/S,B,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,9.49,,,,0.02,1.64,0.05,0.00,0.29,,90.65,,,,,,,,,,,,,,,,,,,,,,,
DH36_C10,36,18/08/2018,C10,18,8,2018,1,S/D,C,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,13.22,,,,0.02,4.43,3.50,0.12,1.81,,93.51,,,,,,,,,,,,,,,,,,,,,,,
DH36_D10,36,18/08/2018,D10,18,8,2018,1,S/D,D,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,12.87,,,,0.16,4.48,3.75,0.08,1.42,,83.47,,,,,,,,,,,,,,,,,,,,,,,
DH36_E10,36,18/08/2018,E10,18,8,2018,24,D/S,E,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,14.96,,,,0.01,3.11,2.23,0.11,0.95,,87.98,,,,,,,,,,,,,,,,,,,,,,,
DH36_F10,36,18/08/2018,F10,18,8,2018,24,D/S,F,T10,8.80,Day 9,Expt,Expt,PC,,,,,,,14.37,,,,0.04,3.31,2.21,0.15,0.56,,88.73,,,,,,,,,,,,,,,,,,,,,,,
DH36_A11,36,21/08/2018,A11,21,8,2018,1,S/S,A,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,10.22,,,,0.00,1.52,0.00,0.05,0.56,89.19,89.19,76.02,67.57,6.07,76.39,25.45,49.67,161.15,21.69,10.95,91.79,4.72,5.95,32.56,19.81,27.92,18.93,696.64,41.52,2631.62,104.79,2.51,3.79,1.88
DH36_B11,36,21/08/2018,B11,21,8,2018,1,S/S,B,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,9.91,,,,0.01,1.54,0.00,0.00,0.49,89.02,89.02,61.69,52.37,5.94,66.52,19.06,43.51,137.62,20.14,7.84,77.27,12.89,3.04,23.08,14.18,18.41,14.57,578.14,24.19,2135.37,101.52,2.10,5.71,1.41
DH36_C11,36,21/08/2018,C11,21,8,2018,1,S/D,C,T11,11.86,Day 12,Expt,Expt,PC,,,,,,,15.69,,,,0.02,4.39,3.59,0.18,2.11,85.54,84.82,95.37,81.71,9.54,80.58,28.63,55.95,182.91,26.23,14.56,97.56,4.83,2.34,39.01,27.05,41.30,25.84,813.40,67.98,3143.96,85.54,3.68,3.82,2.41
