Seq,Phylum,Class,Order,Family,Genus,Lineage
DH_5887,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcales
DH_12110,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcales
DH_23241,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcales
DH_916,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_4069,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_5159,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_6126,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_6136,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_6603,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_6860,Bacteria,Acidobacteriota,AT-s3-28,NA,NA,Acidobacteriota
DH_6922,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_7170,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_7463,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_7930,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_8015,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_8045,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_8617,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_8934,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_8976,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_9481,Bacteria,Acidobacteriota,AT-s3-28,NA,NA,Acidobacteriota
DH_9800,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_10056,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_10527,Bacteria,Acidobacteriota,NA,NA,NA,Acidobacteriota
DH_10617,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_10701,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_11835,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_12082,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_13214,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_13832,Bacteria,Acidobacteriota,NA,NA,NA,Acidobacteriota
DH_14247,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_14524,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_14868,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_14907,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_15067,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,Acidobacteriota
DH_15293,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_15370,Bacteria,Acidobacteriota,Acidobacteriae,NA,NA,Acidobacteriota
DH_16071,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_16416,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_16593,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_17801,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_18399,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_18448,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,Acidobacteriota
DH_18536,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_18541,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_20495,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_20954,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_21319,Bacteria,Acidobacteriota,NA,NA,NA,Acidobacteriota
DH_22295,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_22471,Bacteria,Acidobacteriota,d142,NA,NA,Acidobacteriota
DH_23450,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,Acidobacteriota
DH_23834,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_25393,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_25470,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_26074,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_26472,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_26900,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_27498,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_27594,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,Acidobacteriota
DH_28253,Bacteria,Acidobacteriota,Subgroup 26,NA,NA,Acidobacteriota
DH_28317,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,Acidobacteriota
DH_29415,Bacteria,Acidobacteriota,NA,NA,NA,Acidobacteriota
DH_30742,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
DH_30864,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,Acidobacteriota
