Cruise,Date,Month,ID,Depth,Amino_Acid,Conc
39,26-Sep-18,September,10,22,Glycine,153.27
39,26-Sep-18,September,11,23,Glycine,148.23
39,26-Sep-18,September,12,24,Glycine,447.02
39,26-Sep-18,September,5,1,β Alanine,29.22
39,26-Sep-18,September,6,5,β Alanine,27.91
39,26-Sep-18,September,7,10,β Alanine,27.41
39,26-Sep-18,September,8,15,β Alanine,27.47
39,26-Sep-18,September,9,20,β Alanine,27.02
39,26-Sep-18,September,10,22,β Alanine,25.49
39,26-Sep-18,September,11,23,β Alanine,26.51
39,26-Sep-18,September,12,24,β Alanine,41.06
39,26-Sep-18,September,5,1,Tyrptophan,9.14
39,26-Sep-18,September,6,5,Tyrptophan,6.44
39,26-Sep-18,September,7,10,Tyrptophan,10.39
39,26-Sep-18,September,8,15,Tyrptophan,6.95
39,26-Sep-18,September,9,20,Tyrptophan,7.44
39,26-Sep-18,September,10,22,Tyrptophan,4.34
39,26-Sep-18,September,11,23,Tyrptophan,5.00
39,26-Sep-18,September,12,24,Tyrptophan,66.70
39,26-Sep-18,September,5,1,Alanine,86.95
39,26-Sep-18,September,6,5,Alanine,81.22
39,26-Sep-18,September,7,10,Alanine,97.55
39,26-Sep-18,September,8,15,Alanine,83.50
39,26-Sep-18,September,9,20,Alanine,85.47
39,26-Sep-18,September,10,22,Alanine,77.86
39,26-Sep-18,September,11,23,Alanine,76.51
39,26-Sep-18,September,12,24,Alanine,286.22
39,26-Sep-18,September,5,1,GABA,5.83
39,26-Sep-18,September,6,5,GABA,3.84
39,26-Sep-18,September,7,10,GABA,3.23
39,26-Sep-18,September,8,15,GABA,4.14
39,26-Sep-18,September,9,20,GABA,4.44
39,26-Sep-18,September,10,22,GABA,3.67
39,26-Sep-18,September,11,23,GABA,3.26
39,26-Sep-18,September,12,24,GABA,8.38
39,26-Sep-18,September,5,1,Methionine,2.03
39,26-Sep-18,September,6,5,Methionine,2.21
39,26-Sep-18,September,7,10,Methionine,5.65
39,26-Sep-18,September,8,15,Methionine,3.58
39,26-Sep-18,September,9,20,Methionine,3.11
39,26-Sep-18,September,10,22,Methionine,3.87
39,26-Sep-18,September,11,23,Methionine,3.21
39,26-Sep-18,September,12,24,Methionine,41.87
39,26-Sep-18,September,5,1,Valine,16.91
39,26-Sep-18,September,6,5,Valine,16.09
39,26-Sep-18,September,7,10,Valine,26.73
39,26-Sep-18,September,8,15,Valine,19.54
