Timepoint,Day,Treatment,Bacteria,Bacteria_SD,DOC,DOC_SD,TOC,TOC_SD,MOL_%,MOL_%_SD,DI,DI_SD,TDAA,TDAA_SD,TDAA_C,TDAA_C_SD,Yield,Yield_SD,Phosphate,PO4_SD,Silicate,SO3_SD,Nitrite,NO2_SD,Nitrate,NO3_SD,Ammonium,NH4_SD,Glu,Glu_SD,Ser,Ser_SD,Leu,Leu_SD,Gly,Gly_SD,Asp,Asp_SD,Ala,Ala_SD,Leu,Leu_SD
T3,1.59375,D/S,13.129,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4,2,D/S,13.413,0.272,95.582,0.76,99.44810848,1.069734235,4.07,0.82,0.55,0.73,704.6682465,156.0149334,2564.476027,671.0466321,2.775801383,0.750279958,0.025,0.00707107,3.11,0.05656854,2.145,0.06363961,0.1,0.05656854,0.445,0.16263456,67.76,21.05763994,92.35,18.32820777,10.525,9.114606409,182.375,23.70929037,90.26,20.66166015,88.26,14.36840979,10.525,9.114606409
T5,2.71875,D/S,13.46,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,3.71875,D/S,14.527,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T7,4.55208333,D/S,21.939,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T8,5.9,D/S,17.948,0.829,94.28,4.017,94.39494519,2.526986012,5.24,1.24,2.56,0.4,916.5807307,136.5749262,3553.332749,594.3133822,3.821296358,0.799352414,0.02,0.01414214,3.195,0.09192388,2.2,0.02828427,0.1,0.02828427,0.875,0.28991378,76.345,19.84848735,86.24,18.42720272,48.08,11.66726189,226.65,29.98132752,69.6,3.818376618,110.515,10.99551045,48.08,11.66726189
T9,6.78125,D/S,15.444,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T10,8.80208333,D/S,14.664,0.418,84.089,1.322,89.55427496,0.94310805,,,,,,,,,,,0.025,0.0212132,3.21,0.14142136,2.22,0.01414214,0.13,0.02828427,0.755,0.27577165,,,,,,,,,,,,,,
T11,11.8645833,D/S,14.416,0.032,89.84,0.385,88.90169943,1.543142287,4.18,1.68,2.4,0.48,802.2841052,113.6211964,3121.400257,518.0471498,3.649056393,0.588252927,0.01,0.01414214,3.215,0.03535534,2.22,0,0.13,0.01414214,0.74,0.01414214,83,3.676955262,82.39,8.959042918,40.565,8.72569768,172.075,32.25821136,89.42,4.58912301,99.355,17.83323302,40.565,8.72569768
T12,16.8645833,D/S,14.81,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,20.84375,D/S,12.357,0.564,82.9,1.252,82.11014438,1.802566355,,,,,,,,,,,0.02,0,3.345,0.09192388,2.475,0.16263456,0.145,0.03535534,1.01,0.07071068,,,,,,,,,,,,,,
